NM_RAZAO_SOCIAL;CD_PROCESSO_SUSEP;NR_PROPOSTA;ID_PROPOSTA;DT_PROPOSTA;DT_INICIO_VIGENCIA;DT_FIM_VIGENCIA;NM_SEGURADO;NR_DOCUMENTO_SEGURADO;NM_MUNICIPIO_PROPRIEDADE;SG_UF_PROPRIEDADE;LATITUDE;NR_GRAU_LAT;NR_MIN_LAT;NR_SEG_LAT;LONGITUDE;NR_GRAU_LONG;NR_MIN_LONG;NR_SEG_LONG;NR_DECIMAL_LATITUDE;NR_DECIMAL_LONGITUDE;NM_CLASSIF_PRODUTO;NM_CULTURA_GLOBAL;NR_AREA_TOTAL;NR_ANIMAL;NR_PRODUTIVIDADE_ESTIMADA;NR_PRODUTIVIDADE_SEGURADA;NivelDeCobertura;VL_LIMITE_GARANTIA;VL_PREMIO_LIQUIDO;PE_TAXA;VL_SUBVENCAO_FEDERAL;NR_APOLICE;DT_APOLICE;ANO_APOLICE;CD_GEOCMU;VALOR_INDENIZAÇÃO;EVENTO_PREPONDERANTE
Allianz Seguros S.A;15414002759200717;131360965;2012862;13/02/2025;13/02/2025;31/12/2025;ANONIMIZADO;***;Jataí;GO;S;18;5;12;W;51;34;30;-;-;PRODUTIVIDADE;Milho 2ª safra;52,51;-;6497,14;4548;0,700000308;238815,37;25854,2;0,108260201;10341,67;5177202579110003032;18/02/2025;2025;5211909;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;51429706;1099260;01/04/2020;01/04/2020;01/04/2021;ANONIMIZADO;***;Pejuçara;RS;S;28;25;46;W;53;43;41;-;-;CUSTEIO;Trigo;22,5;-;3000;1950;0,65;32967,9;5274,85;0,159999575;1846,2;11367;06/04/2020;2020;4314308;27614,28; GEADA
Aliança do Brasil Seguros S/A.;15414901479201927;55816055;1604619;29/01/2022;29/01/2022;29/01/2023;ANONIMIZADO;***;Maringá;PR;-;-;-;-;-;-;-;-;-23,3204;-51,9579;CUSTEIO;Milho 2ª safra;37;-;6000;3900;0,65;157668;18394,6;0,116666667;7357,84;24837;24/03/2022;2022;4115200;0; VENTOS FORTES/FRIOS
Aliança do Brasil Seguros S/A.;15414901479201927;50426008;1045356;06/09/2019;06/09/2019;05/09/2020;ANONIMIZADO;***;São Borja;RS;S;28;55;20;W;56;14;3;-;-;CUSTEIO;Arroz;230;-;8250;6187,5;0,75;821100;38912,47;0,047390659;13619,36;8186;27/09/2019;2019;4318002;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;52839461;1237000;24/09/2020;24/09/2020;24/09/2021;ANONIMIZADO;***;Pedras Altas;RS;S;31;58;55;W;53;45;33;-;-;CUSTEIO;Soja;30;-;2800;1820;0,65;84000;6720;0,08;1680;14395;28/09/2020;2020;4314175;81074,96; GRANIZO
Aliança do Brasil Seguros S/A.;15414901479201927;51429708;1098718;01/04/2020;01/04/2020;01/04/2021;ANONIMIZADO;***;Pejuçara;RS;S;28;25;40;W;53;43;19;-;-;CUSTEIO;Trigo;19,5;-;3000;1950;0,65;28572,18;4571,55;0,160000042;1600,04;11369;06/04/2020;2020;4314308;13074,95; GEADA
Aliança do Brasil Seguros S/A.;15414901479201927;50405380;1045446;30/08/2019;30/08/2019;29/08/2020;ANONIMIZADO;***;Campo Novo do Parecis;MT;S;13;27;25;W;57;38;53;-;-;CUSTEIO;Soja;848;-;3480;2784;0,8;2012134,4;80263,99;0,039889975;24079,2;8149;27/09/2019;2019;5102637;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;51524582;1126789;20/04/2020;20/04/2020;20/04/2021;ANONIMIZADO;***;Goioxim;PR;S;25;5;7;W;51;55;3;-;-;CUSTEIO;Trigo;30,31;-;4500;3150;0,7;75775;4226,55;0,055777631;1479,29;11803;05/05/2020;2020;4108650;6001,38; GEADA
Aliança do Brasil Seguros S/A.;15414901479201927;60054244;1984858;07/12/2024;07/12/2024;07/12/2025;ANONIMIZADO;***;Sabáudia;PR;-;-;-;-;-;-;-;-;-23,373545;-51,558677;CUSTEIO;Milho 2ª safra;32;-;4640;3248;0,7;276314,77;17487,02;0,063286592;6994,8;9677;06/01/2025;2025;4122701;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;51429696;1096646;01/04/2020;01/04/2020;01/04/2021;ANONIMIZADO;***;São Luiz Gonzaga;RS;S;28;25;52;W;55;9;1;-;-;CUSTEIO;Trigo;140;-;2993;1945,45;0,65;239400;38304;0,16;13406,4;11304;03/04/2020;2020;4318903;206458,56; GEADA
Aliança do Brasil Seguros S/A.;15414901479201927;50690884;1047873;18/10/2019;18/10/2019;17/10/2020;ANONIMIZADO;***;Campina da Lagoa;PR;S;24;37;10;W;52;44;16;-;-;CUSTEIO;Soja;53,24;-;3400;2550;0,75;109993,84;7748,45;0,070444399;2711,96;8483;24/10/2019;2019;4103909;34549,07; SECA
Aliança do Brasil Seguros S/A.;15414901479201927;51429705;1104375;01/04/2020;01/04/2020;01/04/2021;ANONIMIZADO;***;Pejuçara;RS;S;28;25;26;W;53;43;23;-;-;CUSTEIO;Trigo;11,5;-;3000;1950;0,65;16850,26;2696,04;0,159999905;943,61;11420;07/04/2020;2020;4314308;11142,34; GEADA
Aliança do Brasil Seguros S/A.;15414901479201927;51425884;1104407;30/03/2020;30/03/2020;30/03/2021;ANONIMIZADO;***;Pejuçara;RS;S;28;31;16;W;53;34;37;-;-;CUSTEIO;Trigo;177;-;2978;1935,7;0,65;299130;47860,8;0,16;16751,28;11046;31/03/2020;2020;4314308;149923,96; GEADA
Aliança do Brasil Seguros S/A.;15414901479201927;55240044;1486882;16/10/2021;16/10/2021;16/10/2022;ANONIMIZADO;***;Maçambará;RS;S;28;58;25;W;55;51;24;-;-;CUSTEIO;Arroz;80;-;8662,5;6063,75;0,7;508400;17601,94;0,034622227;4400,49;23199;20/10/2021;2021;4311718;0; VARIAÇÃO EXCESSIVA DE TEMPERATURA
Aliança do Brasil Seguros S/A.;15414901479201927;60054233;1984871;07/12/2024;07/12/2024;07/12/2025;ANONIMIZADO;***;Maringá;PR;-;-;-;-;-;-;-;-;-23,492467;-51,99496;CUSTEIO;Milho 2ª safra;33;-;4800;3600;0,75;312998,4;20780,64;0,06639216;8312,25;9666;06/01/2025;2025;4115200;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;50405396;1045579;31/08/2019;31/08/2019;30/08/2020;ANONIMIZADO;***;Porto dos Gaúchos;MT;S;11;40;12;W;57;3;32;-;-;CUSTEIO;Soja;472;-;3750;2437,5;0,65;1027940,48;35163,42;0,034207642;12307,2;8158;27/09/2019;2019;5106802;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;55816029;1569256;29/01/2022;29/01/2022;29/01/2023;ANONIMIZADO;***;Ourizona;PR;-;-;-;-;-;-;-;-;-23,448412;-52,221659;CUSTEIO;Milho 2ª safra;81;-;6000;3900;0,65;337171,2;39336,64;0,116666667;15734,66;25302;27/04/2022;2022;4117404;0; VENTOS FORTES/FRIOS
Aliança do Brasil Seguros S/A.;15414901479201927;51429614;1148353;01/04/2020;01/04/2020;01/04/2021;ANONIMIZADO;***;Maçambará;RS;S;29;4;58;W;55;46;30;-;-;CUSTEIO;Soja;76,5;-;2800;1820;0,65;160650;12852;0,08;3213;11283;03/04/2020;2020;4311718;88095; CHUVA EXCESSIVA
Aliança do Brasil Seguros S/A.;15414901479201927;50615487;1046416;07/10/2019;07/10/2019;06/10/2020;ANONIMIZADO;***;Catalão;GO;S;18;1;36;W;47;48;42;-;-;CUSTEIO;Soja;42;-;3750;2625;0,7;98319,48;3463,03;0,035222216;1212,06;8347;15/10/2019;2019;5205109;14679,1; SECA
Aliança do Brasil Seguros S/A.;15414901479201927;60054247;1984761;07/12/2024;07/12/2024;07/12/2025;ANONIMIZADO;***;Paiçandu;PR;-;-;-;-;-;-;-;-;-23,475283;-52,139065;CUSTEIO;Milho 2ª safra;26;-;4560;3420;0,75;230667,84;15622,58;0,067727603;6249,03;9680;06/01/2025;2025;4117503;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;54166040;1345303;30/04/2021;30/04/2021;30/04/2022;ANONIMIZADO;***;Candói;PR;S;25;23;58;W;51;59;12;-;-;CUSTEIO;Trigo;39,19;-;4500;3150;0,7;587850;6557,78;0,011155533;2623,11;19257;06/05/2021;2021;4104428;0; VENTOS FORTES/FRIOS
Aliança do Brasil Seguros S/A.;15414901479201927;50704885;1047273;23/10/2019;23/10/2019;22/10/2020;ANONIMIZADO;***;Bossoroca;RS;S;28;39;7;W;54;51;51;-;-;CUSTEIO;Soja;325;-;3300;2145;0,65;650000;42250;0,065;14787,5;8643;04/11/2019;2019;4302501;468184,38; SECA
